codigo_distrito,distrito,codigo_concelho,concelho,codigo_freguesia,freguesia,eleitores
1,Aveiro,101,Águeda,10103,Aguada de Cima,42105
1,Aveiro,101,Águeda,10109,Fermentelos,7496
1,Aveiro,101,Águeda,10112,Macinhata do Vouga,1839
1,Aveiro,101,Águeda,10119,Valongo do Vouga,48798
1,Aveiro,101,Águeda,10121,União das freguesias de Águeda e Borralha,18224
1,Aveiro,101,Águeda,10122,União das freguesias de Barrô e Aguada de Baixo,16249
1,Aveiro,101,Águeda,10123,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",14828
1,Aveiro,101,Águeda,10124,União das freguesias de Recardães e Espinhel,9344
1,Aveiro,101,Águeda,10125,União das freguesias de Travassô e Óis da Ribeira,48465
1,Aveiro,101,Águeda,10126,"União das freguesias de Trofa, Segadães e Lamas do Vouga",6917
1,Aveiro,101,Águeda,10127,União das freguesias do Préstimo e Macieira de Alcoba,44548
1,Aveiro,102,Albergaria-a-Velha,10202,Alquerubim,48740
1,Aveiro,102,Albergaria-a-Velha,10203,Angeja,35941
1,Aveiro,102,Albergaria-a-Velha,10204,Branca,5897
1,Aveiro,102,Albergaria-a-Velha,10206,Ribeira de Fráguas,38898
1,Aveiro,102,Albergaria-a-Velha,10209,Albergaria-a-Velha e Valmaior,27851
1,Aveiro,102,Albergaria-a-Velha,10210,São João de Loure e Frossos,2282
1,Aveiro,103,Anadia,10304,Avelãs de Caminho,2152
1,Aveiro,103,Anadia,10305,Avelãs de Cima,6340
1,Aveiro,103,Anadia,10307,Moita,14528
1,Aveiro,103,Anadia,10309,Sangalhos,15447
1,Aveiro,103,Anadia,10310,São Lourenço do Bairro,33318
1,Aveiro,103,Anadia,10312,Vila Nova de Monsarros,39653
1,Aveiro,103,Anadia,10313,Vilarinho do Bairro,1939
1,Aveiro,103,Anadia,10316,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",36981
1,Aveiro,103,Anadia,10317,União das freguesias de Arcos e Mogofores,13231
1,Aveiro,103,Anadia,10318,"União das freguesias de Tamengos, Aguim e Óis do Bairro",47125
1,Aveiro,104,Arouca,10402,Alvarenga,42790
1,Aveiro,104,Arouca,10407,Chave,46162
1,Aveiro,104,Arouca,10409,Escariz,35913
1,Aveiro,104,Arouca,10411,Fermedo,27693
1,Aveiro,104,Arouca,10413,Mansores,14646
1,Aveiro,104,Arouca,10414,Moldes,29639
1,Aveiro,104,Arouca,10415,Rossas,38818
1,Aveiro,104,Arouca,10416,Santa Eulália,18431
1,Aveiro,104,Arouca,10417,São Miguel do Mato,625
1,Aveiro,104,Arouca,10418,Tropeço,49929
1,Aveiro,104,Arouca,10419,Urrô,10663
1,Aveiro,104,Arouca,10420,Várzea,45953
1,Aveiro,104,Arouca,10421,União das freguesias de Arouca e Burgo,27896
1,Aveiro,104,Arouca,10422,União das freguesias de Cabreiros e Albergaria da Serra,22498
1,Aveiro,104,Arouca,10423,União das freguesias de Canelas e Espiunca,18410
1,Aveiro,104,Arouca,10424,União das freguesias de Covelo de Paivó e Janarde,10389
1,Aveiro,105,Aveiro,10501,Aradas,14310
1,Aveiro,105,Aveiro,10502,Cacia,22259
1,Aveiro,105,Aveiro,10505,Esgueira,6898
1,Aveiro,105,Aveiro,10508,Oliveirinha,6278
1,Aveiro,105,Aveiro,10510,São Bernardo,25098
1,Aveiro,105,Aveiro,10511,São Jacinto,6538
1,Aveiro,105,Aveiro,10513,Santa Joana,23726
1,Aveiro,105,Aveiro,10515,Eixo e Eirol,22741
1,Aveiro,105,Aveiro,10516,"Requeixo, Nossa Senhora de Fátima e Nariz",39765
1,Aveiro,105,Aveiro,10517,União das freguesias de Glória e Vera Cruz,17535
1,Aveiro,106,Castelo de Paiva,10602,Fornos,3047
1,Aveiro,106,Castelo de Paiva,10606,Real,48023
1,Aveiro,106,Castelo de Paiva,10607,Santa Maria de Sardoura,30308
1,Aveiro,106,Castelo de Paiva,10608,São Martinho de Sardoura,35342
1,Aveiro,106,Castelo de Paiva,10610,"União das freguesias de Raiva, Pedorido e Paraíso",8380
1,Aveiro,106,Castelo de Paiva,10611,União das freguesias de Sobrado e Bairros,25007
1,Aveiro,107,Espinho,10702,Espinho,5364
1,Aveiro,107,Espinho,10704,Paramos,36378
1,Aveiro,107,Espinho,10705,Silvalde,19413
1,Aveiro,107,Espinho,10706,União das freguesias de Anta e Guetim,41398
1,Aveiro,108,Estarreja,10801,Avanca,40735
1,Aveiro,108,Estarreja,10805,Pardilhó,23900
1,Aveiro,108,Estarreja,10806,Salreu,38037
1,Aveiro,108,Estarreja,10808,União das freguesias de Beduído e Veiros,12801
1,Aveiro,108,Estarreja,10809,União das freguesias de Canelas e Fermelã,46374
1,Aveiro,109,Santa Maria da Feira,10901,Argoncilhe,4758
1,Aveiro,109,Santa Maria da Feira,10902,Arrifana,3203
1,Aveiro,109,Santa Maria da Feira,10904,Escapães,43536
1,Aveiro,109,Santa Maria da Feira,10907,Fiães,15135
1,Aveiro,109,Santa Maria da Feira,10908,Fornos,19165
1,Aveiro,109,Santa Maria da Feira,10913,Lourosa,5429
1,Aveiro,109,Santa Maria da Feira,10914,Milheirós de Poiares,15456
1,Aveiro,109,Santa Maria da Feira,10916,Mozelos,6819
1,Aveiro,109,Santa Maria da Feira,10917,Nogueira da Regedoura,25111
1,Aveiro,109,Santa Maria da Feira,10918,São Paio de Oleiros,18417
1,Aveiro,109,Santa Maria da Feira,10919,Paços de Brandão,29914
